# OpenSignals Text File Format. Version 1
# {"98:D3:11:FE:05:A2": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:11:FE:05:A2", "device connection": "BTH98:D3:11:FE:05:A2", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-5", "time": "12:35:18.326", "channels": [4, 5], "sensor": ["EMGBITREV", "RAW"], "label": ["A4", "A5"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A4", "A5"], "special": [{}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
12	0	0	0	0	503	0	
13	0	0	0	0	505	3	
14	0	0	0	0	506	3	
15	0	0	0	0	506	4	
0	0	0	0	0	508	8	
1	0	0	0	0	505	3	
2	0	0	0	0	504	3	
3	0	0	0	0	499	2	
4	0	0	0	0	503	0	
5	0	0	0	0	507	3	
6	0	0	0	0	506	3	
7	0	0	0	0	503	3	
8	0	0	0	0	502	8	
9	0	0	0	0	505	3	
10	0	0	0	0	511	3	
11	0	0	0	0	515	2	
12	0	0	0	0	515	0	
13	0	0	0	0	514	3	
14	0	0	0	0	520	3	
15	0	0	0	0	514	4	
0	0	0	0	0	506	8	
1	0	0	0	0	499	3	
2	0	0	0	0	498	3	
3	0	0	0	0	502	2	
4	0	0	0	0	505	0	
5	0	0	0	0	499	3	
6	0	0	0	0	504	3	
7	0	0	0	0	509	4	
8	0	0	0	0	515	8	
9	0	0	0	0	515	3	
10	0	0	0	0	510	3	
11	0	0	0	0	509	2	
12	0	0	0	0	505	0	
13	0	0	0	0	504	3	
14	0	0	0	0	503	3	
15	0	0	0	0	504	4	
0	0	0	0	0	507	8	
1	0	0	0	0	508	3	
2	0	0	0	0	508	3	
3	0	0	0	0	508	2	
4	0	0	0	0	506	0	
5	0	0	0	0	506	3	
6	0	0	0	0	504	3	
7	0	0	0	0	504	4	
8	0	0	0	0	502	8	
9	0	0	0	0	501	3	
10	0	0	0	0	508	3	
11	0	0	0	0	505	2	
12	0	0	0	0	505	0	
13	0	0	0	0	505	3	
14	0	0	0	0	505	3	
15	0	0	0	0	506	4	
0	0	0	0	0	504	8	
1	0	0	0	0	507	3	
2	0	0	0	0	507	3	
3	0	0	0	0	509	2	
4	0	0	0	0	510	0	
5	0	0	0	0	510	3	
6	0	0	0	0	511	3	
7	0	0	0	0	511	4	
8	0	0	0	0	511	8	
9	0	0	0	0	506	3	
10	0	0	0	0	507	3	
11	0	0	0	0	501	2	
12	0	0	0	0	500	0	
13	0	0	0	0	504	3	
14	0	0	0	0	509	3	
15	0	0	0	0	507	4	
0	0	0	0	0	505	8	
1	0	0	0	0	507	3	
2	0	0	0	0	508	3	
3	0	0	0	0	505	2	
4	0	0	0	0	511	0	
5	0	0	0	0	513	3	
6	0	0	0	0	511	3	
7	0	0	0	0	510	4	
8	0	0	0	0	508	8	
9	0	0	0	0	510	3	
10	0	0	0	0	508	3	
11	0	0	0	0	506	2	
12	0	0	0	0	506	0	
13	0	0	0	0	503	3	
14	0	0	0	0	502	3	
15	0	0	0	0	504	4	
0	0	0	0	0	505	8	
1	0	0	0	0	505	3	
2	0	0	0	0	507	3	
3	0	0	0	0	506	2	
4	0	0	0	0	506	0	
5	0	0	0	0	506	3	
6	0	0	0	0	507	3	
7	0	0	0	0	507	4	
8	0	0	0	0	508	8	
9	0	0	0	0	508	3	
10	0	0	0	0	507	3	
11	0	0	0	0	506	2	
12	0	0	0	0	504	0	
13	0	0	0	0	500	3	
14	0	0	0	0	502	3	
15	0	0	0	0	505	4	
0	0	0	0	0	508	8	
1	0	0	0	0	509	3	
2	0	0	0	0	514	3	
3	0	0	0	0	516	2	
4	0	0	0	0	516	0	
5	0	0	0	0	511	3	
6	0	0	0	0	505	3	
7	0	0	0	0	502	3	
8	0	0	0	0	499	8	
9	0	0	0	0	498	3	
10	0	0	0	0	503	3	
11	0	0	0	0	504	2	
12	0	0	0	0	509	0	
13	0	0	0	0	513	3	
14	0	0	0	0	513	3	
15	0	0	0	0	515	4	
0	0	0	0	0	511	8	
1	0	0	0	0	508	3	
2	0	0	0	0	504	3	
3	0	0	0	0	505	2	
4	0	0	0	0	505	0	
5	0	0	0	0	505	3	
6	0	0	0	0	504	3	
7	0	0	0	0	501	4	
8	0	0	0	0	505	8	
9	0	0	0	0	504	3	
10	0	0	0	0	503	3	
11	0	0	0	0	501	2	
12	0	0	0	0	505	0	
13	0	0	0	0	506	3	
14	0	0	0	0	505	3	
15	0	0	0	0	514	4	
0	0	0	0	0	513	8	
1	0	0	0	0	514	3	
2	0	0	0	0	509	3	
3	0	0	0	0	505	2	
4	0	0	0	0	508	0	
5	0	0	0	0	504	3	
6	0	0	0	0	505	3	
7	0	0	0	0	503	4	
8	0	0	0	0	502	8	
9	0	0	0	0	502	3	
10	0	0	0	0	508	3	
11	0	0	0	0	510	2	
12	0	0	0	0	509	0	
13	0	0	0	0	507	3	
14	0	0	0	0	511	3	
15	0	0	0	0	506	4	
0	0	0	0	0	505	8	
1	0	0	0	0	508	3	
2	0	0	0	0	511	3	
3	0	0	0	0	509	2	
4	0	0	0	0	508	0	
5	0	0	0	0	506	3	
6	0	0	0	0	510	3	
7	0	0	0	0	510	4	
8	0	0	0	0	508	8	
9	0	0	0	0	509	3	
10	0	0	0	0	511	3	
11	0	0	0	0	506	2	
12	0	0	0	0	504	0	
13	0	0	0	0	503	3	
14	0	0	0	0	504	3	
15	0	0	0	0	504	4	
0	0	0	0	0	504	8	
1	0	0	0	0	504	3	
2	0	0	0	0	505	3	
3	0	0	0	0	508	2	
4	0	0	0	0	505	0	
5	0	0	0	0	503	3	
6	0	0	0	0	505	3	
7	0	0	0	0	505	4	
8	0	0	0	0	505	8	
9	0	0	0	0	506	3	
10	0	0	0	0	505	3	
11	0	0	0	0	506	2	
12	0	0	0	0	507	0	
13	0	0	0	0	508	3	
14	0	0	0	0	507	3	
15	0	0	0	0	507	4	
0	0	0	0	0	510	8	
1	0	0	0	0	508	3	
2	0	0	0	0	508	3	
3	0	0	0	0	507	2	
4	0	0	0	0	506	0	
5	0	0	0	0	505	3	
6	0	0	0	0	509	3	
7	0	0	0	0	508	4	
8	0	0	0	0	507	8	
9	0	0	0	0	507	3	
10	0	0	0	0	507	3	
11	0	0	0	0	507	2	
12	0	0	0	0	505	0	
13	0	0	0	0	506	3	
14	0	0	0	0	505	3	
15	0	0	0	0	507	4	
0	0	0	0	0	508	8	
1	0	0	0	0	506	3	
2	0	0	0	0	509	3	
3	0	0	0	0	509	2	
4	0	0	0	0	508	0	
5	0	0	0	0	504	3	
6	0	0	0	0	506	3	
7	0	0	0	0	505	4	
8	0	0	0	0	507	8	
9	0	0	0	0	504	3	
10	0	0	0	0	503	3	
11	0	0	0	0	506	2	
12	0	0	0	0	508	0	
13	0	0	0	0	509	3	
14	0	0	0	0	509	3	
15	0	0	0	0	511	4	
0	0	0	0	0	511	8	
1	0	0	0	0	510	3	
2	0	0	0	0	508	3	
3	0	0	0	0	506	2	
4	0	0	0	0	506	0	
5	0	0	0	0	504	3	
6	0	0	0	0	501	3	
7	0	0	0	0	500	4	
8	0	0	0	0	502	8	
9	0	0	0	0	503	3	
10	0	0	0	0	505	3	
11	0	0	0	0	508	2	
12	0	0	0	0	509	0	
13	0	0	0	0	513	3	
14	0	0	0	0	513	3	
15	0	0	0	0	510	4	
0	0	0	0	0	512	8	
1	0	0	0	0	512	3	
2	0	0	0	0	511	3	
3	0	0	0	0	503	2	
4	0	0	0	0	497	0	
5	0	0	0	0	501	3	
6	0	0	0	0	505	3	
7	0	0	0	0	510	4	
8	0	0	0	0	511	8	
9	0	0	0	0	515	3	
10	0	0	0	0	517	3	
11	0	0	0	0	515	2	
12	0	0	0	0	506	0	
13	0	0	0	0	502	3	
14	0	0	0	0	499	3	
15	0	0	0	0	499	3	
0	0	0	0	0	500	8	
1	0	0	0	0	502	3	
2	0	0	0	0	504	3	
3	0	0	0	0	505	2	
4	0	0	0	0	511	0	
5	0	0	0	0	509	3	
6	0	0	0	0	509	3	
7	0	0	0	0	511	4	
8	0	0	0	0	511	8	
9	0	0	0	0	506	3	
10	0	0	0	0	504	3	
11	0	0	0	0	504	2	
12	0	0	0	0	505	0	
13	0	0	0	0	504	3	
14	0	0	0	0	501	3	
15	0	0	0	0	501	4	
0	0	0	0	0	503	8	
1	0	0	0	0	505	3	
2	0	0	0	0	506	3	
3	0	0	0	0	510	2	
4	0	0	0	0	511	0	
5	0	0	0	0	514	3	
6	0	0	0	0	515	3	
7	0	0	0	0	513	4	
8	0	0	0	0	508	8	
9	0	0	0	0	505	3	
10	0	0	0	0	504	3	
11	0	0	0	0	504	2	
12	0	0	0	0	503	0	
13	0	0	0	0	504	3	
14	0	0	0	0	504	3	
15	0	0	0	0	507	4	
0	0	0	0	0	507	8	
1	0	0	0	0	506	3	
2	0	0	0	0	506	3	
3	0	0	0	0	506	2	
4	0	0	0	0	508	0	
5	0	0	0	0	506	3	
6	0	0	0	0	506	3	
7	0	0	0	0	505	4	
8	0	0	0	0	508	8	
9	0	0	0	0	507	3	
10	0	0	0	0	504	3	
11	0	0	0	0	508	2	
12	0	0	0	0	507	0	
13	0	0	0	0	507	3	
14	0	0	0	0	508	3	
15	0	0	0	0	505	4	
0	0	0	0	0	508	8	
1	0	0	0	0	508	3	
2	0	0	0	0	508	3	
3	0	0	0	0	508	2	
4	0	0	0	0	504	0	
5	0	0	0	0	503	3	
6	0	0	0	0	504	3	
7	0	0	0	0	505	4	
8	0	0	0	0	509	8	
9	0	0	0	0	507	3	
10	0	0	0	0	503	3	
11	0	0	0	0	505	2	
12	0	0	0	0	506	0	
13	0	0	0	0	504	3	
14	0	0	0	0	506	3	
15	0	0	0	0	511	4	
0	0	0	0	0	513	8	
1	0	0	0	0	511	3	
2	0	0	0	0	511	3	
3	0	0	0	0	507	2	
4	0	0	0	0	508	0	
5	0	0	0	0	510	3	
6	0	0	0	0	513	3	
7	0	0	0	0	513	4	
8	0	0	0	0	512	8	
9	0	0	0	0	507	3	
10	0	0	0	0	503	3	
11	0	0	0	0	502	2	
12	0	0	0	0	501	0	
13	0	0	0	0	504	3	
14	0	0	0	0	506	3	
15	0	0	0	0	504	4	
0	0	0	0	0	505	8	
1	0	0	0	0	503	3	
2	0	0	0	0	504	3	
3	0	0	0	0	505	2	
4	0	0	0	0	505	0	
5	0	0	0	0	504	3	
6	0	0	0	0	507	3	
7	0	0	0	0	507	4	
8	0	0	0	0	508	8	
9	0	0	0	0	505	3	
10	0	0	0	0	499	3	
11	0	0	0	0	499	2	
12	0	0	0	0	506	0	
13	0	0	0	0	509	3	
14	0	0	0	0	511	3	
15	0	0	0	0	512	4	
0	0	0	0	0	512	8	
1	0	0	0	0	515	3	
2	0	0	0	0	511	3	
3	0	0	0	0	503	2	
4	0	0	0	0	502	0	
5	0	0	0	0	503	3	
6	0	0	0	0	504	3	
7	0	0	0	0	508	4	
8	0	0	0	0	508	8	
9	0	0	0	0	513	3	
10	0	0	0	0	511	3	
11	0	0	0	0	509	2	
12	0	0	0	0	507	0	
13	0	0	0	0	507	3	
14	0	0	0	0	505	3	
15	0	0	0	0	503	4	
0	0	0	0	0	505	8	
1	0	0	0	0	507	3	
2	0	0	0	0	507	3	
3	0	0	0	0	506	2	
4	0	0	0	0	507	0	
5	0	0	0	0	505	3	
6	0	0	0	0	506	3	
7	0	0	0	0	504	4	
8	0	0	0	0	504	8	
9	0	0	0	0	508	3	
10	0	0	0	0	507	3	
11	0	0	0	0	508	2	
12	0	0	0	0	506	0	
13	0	0	0	0	507	3	
14	0	0	0	0	506	3	
15	0	0	0	0	508	4	
0	0	0	0	0	508	8	
1	0	0	0	0	505	3	
2	0	0	0	0	508	3	
3	0	0	0	0	508	2	
4	0	0	0	0	507	0	
5	0	0	0	0	507	3	
6	0	0	0	0	505	3	
7	0	0	0	0	504	4	
8	0	0	0	0	505	8	
9	0	0	0	0	506	3	
10	0	0	0	0	505	3	
11	0	0	0	0	504	2	
12	0	0	0	0	507	0	
13	0	0	0	0	509	3	
14	0	0	0	0	507	3	
15	0	0	0	0	509	4	
0	0	0	0	0	509	8	
1	0	0	0	0	508	3	
2	0	0	0	0	508	3	
3	0	0	0	0	508	2	
4	0	0	0	0	505	0	
5	0	0	0	0	504	3	
6	0	0	0	0	508	3	
7	0	0	0	0	509	4	
8	0	0	0	0	509	8	
9	0	0	0	0	511	3	
10	0	0	0	0	508	3	
11	0	0	0	0	504	2	
12	0	0	0	0	507	0	
13	0	0	0	0	507	3	
14	0	0	0	0	507	3	
15	0	0	0	0	508	4	
0	0	0	0	0	507	8	
1	0	0	0	0	505	3	
2	0	0	0	0	506	3	
3	0	0	0	0	500	2	
4	0	0	0	0	504	0	
5	0	0	0	0	505	3	
6	0	0	0	0	508	3	
7	0	0	0	0	511	4	
8	0	0	0	0	509	8	
9	0	0	0	0	510	3	
10	0	0	0	0	511	3	
11	0	0	0	0	510	2	
12	0	0	0	0	505	0	
13	0	0	0	0	500	3	
14	0	0	0	0	502	3	
15	0	0	0	0	502	4	
0	0	0	0	0	504	8	
1	0	0	0	0	507	3	
2	0	0	0	0	513	3	
3	0	0	0	0	514	2	
4	0	0	0	0	508	0	
5	0	0	0	0	508	3	
6	0	0	0	0	510	3	
7	0	0	0	0	509	4	
8	0	0	0	0	504	8	
9	0	0	0	0	511	3	
10	0	0	0	0	512	3	
11	0	0	0	0	512	2	
12	0	0	0	0	505	0	
13	0	0	0	0	502	3	
14	0	0	0	0	501	3	
15	0	0	0	0	503	4	
0	0	0	0	0	503	8	
1	0	0	0	0	504	3	
2	0	0	0	0	510	3	
3	0	0	0	0	510	2	
4	0	0	0	0	512	0	
5	0	0	0	0	507	3	
6	0	0	0	0	508	3	
7	0	0	0	0	506	4	
8	0	0	0	0	503	8	
9	0	0	0	0	504	3	
10	0	0	0	0	505	3	
11	0	0	0	0	506	2	
12	0	0	0	0	503	0	
13	0	0	0	0	501	3	
14	0	0	0	0	503	3	
15	0	0	0	0	505	4	
0	0	0	0	0	507	8	
1	0	0	0	0	511	3	
2	0	0	0	0	511	3	
3	0	0	0	0	511	2	
4	0	0	0	0	511	0	
5	0	0	0	0	508	3	
6	0	0	0	0	505	3	
7	0	0	0	0	502	4	
8	0	0	0	0	504	8	
9	0	0	0	0	504	3	
10	0	0	0	0	506	3	
11	0	0	0	0	506	2	
12	0	0	0	0	507	0	
13	0	0	0	0	509	3	
14	0	0	0	0	511	3	
15	0	0	0	0	509	4	
0	0	0	0	0	507	8	
1	0	0	0	0	507	3	
2	0	0	0	0	504	3	
3	0	0	0	0	504	2	
4	0	0	0	0	504	0	
5	0	0	0	0	504	3	
6	0	0	0	0	506	3	
7	0	0	0	0	507	4	
8	0	0	0	0	507	8	
9	0	0	0	0	507	3	
10	0	0	0	0	507	3	
11	0	0	0	0	508	2	
12	0	0	0	0	510	0	
13	0	0	0	0	508	3	
14	0	0	0	0	508	3	
15	0	0	0	0	505	4	
0	0	0	0	0	505	8	
1	0	0	0	0	505	3	
2	0	0	0	0	507	3	
3	0	0	0	0	504	2	
4	0	0	0	0	506	0	
5	0	0	0	0	507	3	
6	0	0	0	0	507	3	
7	0	0	0	0	506	4	
8	0	0	0	0	508	8	
9	0	0	0	0	507	3	
10	0	0	0	0	508	3	
11	0	0	0	0	508	2	
12	0	0	0	0	506	0	
13	0	0	0	0	506	3	
14	0	0	0	0	497	3	
15	0	0	0	0	493	3	
0	0	0	0	0	497	8	
1	0	0	0	0	505	3	
2	0	0	0	0	511	3	
3	0	0	0	0	517	2	
4	0	0	0	0	519	0	
5	0	0	0	0	524	3	
6	0	0	0	0	519	3	
7	0	0	0	0	510	4	
8	0	0	0	0	508	8	
9	0	0	0	0	506	3	
10	0	0	0	0	508	3	
11	0	0	0	0	509	2	
12	0	0	0	0	507	0	
13	0	0	0	0	504	3	
14	0	0	0	0	501	3	
15	0	0	0	0	501	3	
0	0	0	0	0	502	8	
1	0	0	0	0	505	3	
2	0	0	0	0	509	3	
3	0	0	0	0	513	2	
4	0	0	0	0	508	0	
5	0	0	0	0	504	3	
6	0	0	0	0	504	3	
7	0	0	0	0	504	4	
8	0	0	0	0	502	8	
9	0	0	0	0	504	3	
10	0	0	0	0	504	3	
11	0	0	0	0	503	2	
12	0	0	0	0	502	0	
13	0	0	0	0	505	3	
14	0	0	0	0	509	3	
15	0	0	0	0	510	4	
0	0	0	0	0	511	8	
1	0	0	0	0	509	3	
2	0	0	0	0	512	3	
3	0	0	0	0	511	2	
4	0	0	0	0	508	0	
5	0	0	0	0	504	3	
6	0	0	0	0	504	3	
7	0	0	0	0	503	4	
8	0	0	0	0	503	8	
9	0	0	0	0	505	3	
10	0	0	0	0	507	3	
11	0	0	0	0	507	2	
12	0	0	0	0	510	0	
13	0	0	0	0	510	3	
14	0	0	0	0	507	3	
15	0	0	0	0	505	3	
0	0	0	0	0	505	8	
1	0	0	0	0	505	3	
2	0	0	0	0	506	3	
3	0	0	0	0	506	2	
4	0	0	0	0	506	0	
5	0	0	0	0	506	3	
6	0	0	0	0	508	3	
7	0	0	0	0	506	4	
8	0	0	0	0	504	8	
9	0	0	0	0	503	3	
10	0	0	0	0	502	3	
11	0	0	0	0	506	2	
12	0	0	0	0	508	0	
13	0	0	0	0	510	3	
14	0	0	0	0	514	3	
15	0	0	0	0	513	4	
0	0	0	0	0	508	8	
1	0	0	0	0	505	3	
2	0	0	0	0	505	3	
3	0	0	0	0	505	2	
4	0	0	0	0	508	0	
5	0	0	0	0	512	3	
6	0	0	0	0	511	3	
7	0	0	0	0	509	4	
8	0	0	0	0	508	8	
9	0	0	0	0	506	3	
10	0	0	0	0	507	3	
11	0	0	0	0	504	2	
12	0	0	0	0	504	0	
13	0	0	0	0	504	3	
14	0	0	0	0	506	3	
15	0	0	0	0	507	4	
0	0	0	0	0	505	8	
1	0	0	0	0	505	3	
2	0	0	0	0	507	3	
3	0	0	0	0	507	2	
4	0	0	0	0	509	0	
5	0	0	0	0	506	3	
6	0	0	0	0	505	3	
7	0	0	0	0	507	4	
8	0	0	0	0	508	8	
9	0	0	0	0	506	3	
10	0	0	0	0	507	3	
11	0	0	0	0	504	2	
12	0	0	0	0	510	0	
13	0	0	0	0	509	3	
14	0	0	0	0	507	3	
15	0	0	0	0	507	4	
0	0	0	0	0	503	8	
1	0	0	0	0	500	3	
2	0	0	0	0	503	3	
3	0	0	0	0	505	2	
4	0	0	0	0	507	0	
5	0	0	0	0	511	3	
6	0	0	0	0	512	3	
7	0	0	0	0	514	4	
8	0	0	0	0	514	8	
9	0	0	0	0	507	3	
10	0	0	0	0	504	3	
11	0	0	0	0	504	2	
12	0	0	0	0	508	0	
13	0	0	0	0	508	3	
14	0	0	0	0	506	3	
15	0	0	0	0	508	4	
0	0	0	0	0	512	8	
1	0	0	0	0	511	3	
2	0	0	0	0	499	3	
3	0	0	0	0	497	2	
4	0	0	0	0	500	0	
5	0	0	0	0	503	3	
6	0	0	0	0	506	3	
7	0	0	0	0	509	4	
8	0	0	0	0	504	8	
9	0	0	0	0	508	3	
10	0	0	0	0	508	3	
11	0	0	0	0	503	2	
12	0	0	0	0	502	0	
13	0	0	0	0	509	3	
14	0	0	0	0	516	3	
15	0	0	0	0	519	4	
0	0	0	0	0	516	8	
1	0	0	0	0	513	3	
2	0	0	0	0	512	3	
3	0	0	0	0	511	2	
4	0	0	0	0	507	0	
5	0	0	0	0	500	3	
6	0	0	0	0	499	3	
7	0	0	0	0	500	3	
8	0	0	0	0	502	8	
9	0	0	0	0	503	3	
10	0	0	0	0	504	3	
11	0	0	0	0	506	2	
12	0	0	0	0	507	0	
13	0	0	0	0	506	3	
14	0	0	0	0	506	3	
15	0	0	0	0	505	4	
0	0	0	0	0	507	8	
1	0	0	0	0	507	3	
2	0	0	0	0	508	3	
3	0	0	0	0	506	2	
4	0	0	0	0	510	0	
5	0	0	0	0	507	3	
6	0	0	0	0	508	3	
7	0	0	0	0	506	4	
8	0	0	0	0	505	8	
9	0	0	0	0	506	3	
10	0	0	0	0	509	3	
11	0	0	0	0	510	2	
12	0	0	0	0	506	0	
13	0	0	0	0	504	3	
14	0	0	0	0	508	3	
15	0	0	0	0	508	4	
0	0	0	0	0	508	8	
1	0	0	0	0	506	3	
2	0	0	0	0	506	3	
3	0	0	0	0	508	2	
4	0	0	0	0	507	0	
5	0	0	0	0	506	3	
6	0	0	0	0	507	3	
7	0	0	0	0	508	4	
8	0	0	0	0	505	8	
9	0	0	0	0	509	3	
10	0	0	0	0	509	3	
11	0	0	0	0	505	2	
12	0	0	0	0	504	0	
13	0	0	0	0	505	3	
14	0	0	0	0	506	3	
15	0	0	0	0	505	4	
0	0	0	0	0	507	8	
1	0	0	0	0	507	3	
2	0	0	0	0	507	3	
3	0	0	0	0	507	2	
4	0	0	0	0	504	0	
5	0	0	0	0	507	3	
6	0	0	0	0	507	3	
7	0	0	0	0	508	4	
8	0	0	0	0	507	8	
9	0	0	0	0	507	3	
10	0	0	0	0	506	3	
11	0	0	0	0	505	2	
12	0	0	0	0	504	0	
13	0	0	0	0	507	3	
14	0	0	0	0	507	3	
15	0	0	0	0	510	4	
0	0	0	0	0	508	8	
1	0	0	0	0	507	3	
2	0	0	0	0	505	3	
3	0	0	0	0	508	2	
4	0	0	0	0	507	0	
5	0	0	0	0	507	3	
6	0	0	0	0	510	3	
7	0	0	0	0	509	4	
8	0	0	0	0	509	8	
9	0	0	0	0	505	3	
10	0	0	0	0	506	3	
11	0	0	0	0	510	2	
12	0	0	0	0	507	0	
13	0	0	0	0	508	3	
14	0	0	0	0	507	3	
15	0	0	0	0	510	4	
0	0	0	0	0	508	8	
1	0	0	0	0	507	3	
2	0	0	0	0	505	3	
3	0	0	0	0	505	2	
4	0	0	0	0	507	0	
5	0	0	0	0	506	3	
6	0	0	0	0	507	3	
7	0	0	0	0	507	4	
8	0	0	0	0	506	8	
9	0	0	0	0	506	3	
10	0	0	0	0	504	3	
11	0	0	0	0	506	2	
12	0	0	0	0	506	0	
13	0	0	0	0	506	3	
14	0	0	0	0	505	3	
15	0	0	0	0	505	4	
0	0	0	0	0	509	8	
1	0	0	0	0	509	3	
2	0	0	0	0	508	3	
3	0	0	0	0	504	2	
4	0	0	0	0	503	0	
5	0	0	0	0	501	3	
6	0	0	0	0	502	3	
7	0	0	0	0	506	4	
8	0	0	0	0	508	8	
9	0	0	0	0	509	3	
10	0	0	0	0	505	3	
11	0	0	0	0	509	2	
12	0	0	0	0	509	0	
13	0	0	0	0	505	3	
14	0	0	0	0	504	3	
15	0	0	0	0	510	4	
0	0	0	0	0	517	8	
1	0	0	0	0	523	3	
2	0	0	0	0	518	3	
3	0	0	0	0	512	2	
4	0	0	0	0	512	0	
5	0	0	0	0	508	3	
6	0	0	0	0	504	3	
7	0	0	0	0	501	3	
8	0	0	0	0	500	8	
9	0	0	0	0	503	3	
10	0	0	0	0	502	3	
11	0	0	0	0	504	2	
12	0	0	0	0	504	0	
13	0	0	0	0	505	3	
14	0	0	0	0	505	3	
15	0	0	0	0	505	4	
0	0	0	0	0	504	8	
1	0	0	0	0	503	3	
2	0	0	0	0	505	3	
3	0	0	0	0	507	2	
4	0	0	0	0	509	0	
5	0	0	0	0	507	3	
6	0	0	0	0	507	3	
7	0	0	0	0	505	4	
8	0	0	0	0	504	8	
9	0	0	0	0	508	3	
10	0	0	0	0	506	3	
11	0	0	0	0	506	2	
12	0	0	0	0	506	0	
13	0	0	0	0	507	3	
14	0	0	0	0	508	3	
15	0	0	0	0	509	4	
0	0	0	0	0	510	8	
1	0	0	0	0	509	3	
2	0	0	0	0	511	3	
3	0	0	0	0	509	2	
4	0	0	0	0	507	0	
5	0	0	0	0	503	3	
6	0	0	0	0	503	3	
7	0	0	0	0	506	4	
8	0	0	0	0	508	8	
9	0	0	0	0	508	3	
10	0	0	0	0	509	3	
11	0	0	0	0	508	2	
12	0	0	0	0	511	0	
13	0	0	0	0	508	3	
14	0	0	0	0	505	3	
15	0	0	0	0	503	3	
0	0	0	0	0	502	8	
1	0	0	0	0	504	3	
2	0	0	0	0	505	3	
3	0	0	0	0	509	2	
4	0	0	0	0	510	0	
5	0	0	0	0	508	3	
6	0	0	0	0	509	3	
7	0	0	0	0	509	4	
8	0	0	0	0	509	8	
9	0	0	0	0	507	3	
10	0	0	0	0	504	3	
11	0	0	0	0	506	2	
12	0	0	0	0	505	0	
13	0	0	0	0	506	3	
14	0	0	0	0	505	3	
15	0	0	0	0	507	4	
0	0	0	0	0	510	8	
1	0	0	0	0	506	3	
2	0	0	0	0	503	3	
3	0	0	0	0	505	2	
4	0	0	0	0	507	0	
5	0	0	0	0	506	3	
6	0	0	0	0	507	3	
7	0	0	0	0	508	4	
8	0	0	0	0	510	8	
9	0	0	0	0	507	3	
10	0	0	0	0	507	3	
11	0	0	0	0	499	2	
12	0	0	0	0	501	0	
13	0	0	0	0	502	3	
14	0	0	0	0	504	3	
15	0	0	0	0	507	4	
0	0	0	0	0	508	8	
1	0	0	0	0	517	3	
2	0	0	0	0	520	3	
3	0	0	0	0	513	2	
4	0	0	0	0	514	0	
5	0	0	0	0	512	3	
6	0	0	0	0	511	3	
7	0	0	0	0	511	4	
8	0	0	0	0	506	8	
9	0	0	0	0	501	3	
10	0	0	0	0	503	3	
11	0	0	0	0	504	2	
12	0	0	0	0	504	0	
13	0	0	0	0	505	3	
14	0	0	0	0	506	3	
15	0	0	0	0	505	4	
0	0	0	0	0	504	8	
1	0	0	0	0	503	3	
2	0	0	0	0	503	3	
3	0	0	0	0	504	2	
4	0	0	0	0	506	0	
5	0	0	0	0	504	3	
6	0	0	0	0	505	3	
7	0	0	0	0	508	4	
8	0	0	0	0	505	8	
9	0	0	0	0	507	3	
10	0	0	0	0	507	3	
11	0	0	0	0	505	2	
12	0	0	0	0	507	0	
13	0	0	0	0	502	3	
14	0	0	0	0	503	3	
15	0	0	0	0	501	4	
0	0	0	0	0	502	8	
1	0	0	0	0	503	3	
2	0	0	0	0	509	3	
3	0	0	0	0	513	2	
4	0	0	0	0	515	0	
5	0	0	0	0	514	3	
6	0	0	0	0	515	3	
7	0	0	0	0	514	4	
8	0	0	0	0	514	8	
9	0	0	0	0	508	3	
10	0	0	0	0	502	3	
11	0	0	0	0	505	2	
12	0	0	0	0	509	0	
13	0	0	0	0	505	3	
14	0	0	0	0	504	3	
15	0	0	0	0	503	4	
0	0	0	0	0	504	8	
1	0	0	0	0	505	3	
2	0	0	0	0	506	3	
3	0	0	0	0	504	2	
4	0	0	0	0	505	0	
5	0	0	0	0	505	3	
6	0	0	0	0	505	3	
7	0	0	0	0	505	3	
8	0	0	0	0	510	8	
9	0	0	0	0	507	3	
10	0	0	0	0	507	3	
11	0	0	0	0	507	2	
12	0	0	0	0	505	0	
13	0	0	0	0	508	3	
14	0	0	0	0	507	3	
15	0	0	0	0	504	4	
0	0	0	0	0	504	8	
1	0	0	0	0	505	3	
2	0	0	0	0	507	3	
3	0	0	0	0	509	2	
4	0	0	0	0	509	0	
5	0	0	0	0	510	3	
6	0	0	0	0	511	3	
7	0	0	0	0	510	4	
8	0	0	0	0	507	8	
9	0	0	0	0	505	3	
10	0	0	0	0	505	3	
11	0	0	0	0	505	2	
12	0	0	0	0	507	0	
13	0	0	0	0	507	3	
14	0	0	0	0	498	3	
15	0	0	0	0	499	3	
0	0	0	0	0	502	8	
1	0	0	0	0	505	3	
2	0	0	0	0	511	3	
3	0	0	0	0	516	2	
4	0	0	0	0	516	0	
5	0	0	0	0	518	3	
6	0	0	0	0	515	3	
7	0	0	0	0	508	4	
8	0	0	0	0	504	8	
9	0	0	0	0	499	3	
10	0	0	0	0	501	3	
11	0	0	0	0	505	2	
